id,author,year,pro,cho,fat,n,age,hg,hgsd,wg,wgsd,bmi,bmisd,h,hsd,w,wsd
1st,Turck,2006,hm,hm,hm,55,0,,,,,13.58,,503,17,3437,370
1st,Turck,2006,hm,hm,hm,50,1,1.38,0.55,34.2,11.4,14.41,1.31,544,34,4463,499
1st,Turck,2006,hm,hm,hm,43,2,1.23,0.45,31.4,10.4,15.35,1.42,577,44,5321,679
1st,Turck,2006,hm,hm,hm,31,3,1.15,0.46,28,10.1,16.34,3.86,607,58,5957,925
1st,Turck,2006,hm,hm,hm,25,4,1.09,0.62,25.3,9.6,16.02,1.47,634,91,6467,1263
1st,Turck,2006,2.6,11.6,4.8,50,0,,,,,12.78,1.14,501,19,3316,402
1st,Turck,2006,2.6,11.6,4.8,50,1,1.46,0.59,34.9,6.8,14.39,1.2,545,37,4363,547
1st,Turck,2006,2.6,11.6,4.8,50,2,1.3,0.47,34.2,6.4,15.69,0.99,579,47,5365,746
1st,Turck,2006,2.6,11.6,4.8,50,3,1.24,0.49,31.1,6.3,15.99,1.09,613,63,6115,1019
1st,Turck,2006,2.6,11.6,4.8,50,4,1.15,0.46,29.3,3.7,16.66,1.31,639,74,6844,1390
1st,Turck,2006,1.8,11.2,5.4,51,0,,,,,13.1,1.03,497,20,3335,398
1st,Turck,2006,1.8,11.2,5.4,51,1,1.49,0.54,36.5,7.8,14.82,1.14,542,36,4430,542
1st,Turck,2006,1.8,11.2,5.4,51,2,1.28,0.49,34.1,7.9,16.02,1.1,574,49,5381,738
1st,Turck,2006,1.8,11.2,5.4,51,3,1.19,0.46,31.3,7.4,16.57,1.06,604,61,6155,1007
1st,Turck,2006,1.8,11.2,5.4,51,4,1.12,0.43,29.7,5.4,16.9,1.16,631,72,6857,1375
2nd,Davis,2008,hm,hm,hm,88,0,,,,,13.54,,510,24,3521,448
2nd,Davis,2008,hm,hm,hm,70,2,1.26,0.3,34.5,8.7,15.9,,586,42,5453,606
