id,pro,cho,fat,n,age,hg,hgsd,wg,wgsd,bmi,bmisd,h,hsd,w,wsd
1st,hm,hm,hm,55,0,,,,,13.58 ,,503 ,17 ,3437 ,370 
1st,hm,hm,hm,50,1,1.38 ,0.55 ,34.2,11.4,14.41 ,1.31 ,544 ,34 ,4463 ,499 
1st,hm,hm,hm,43,2,1.23 ,0.45 ,31.4 ,10.4 ,15.35 ,1.42 ,577 ,44 ,5321 ,679 
1st,hm,hm,hm,31,3,1.15 ,0.46 ,28.0 ,10.1 ,16.34 ,3.86 ,607 ,58 ,5957 ,925 
1st,hm,hm,hm,25,4,1.09 ,0.62 ,25.3 ,9.6 ,16.02 ,1.47 ,634 ,91 ,6467 ,1263 
1st,hp,hc,lf,50,0,,,,,12.78 ,1.14 ,501 ,19 ,3316 ,402 
1st,hp,hc,lf,50,1,1.46 ,0.59 ,34.9 ,6.8 ,14.39 ,1.20 ,545 ,37 ,4363 ,547 
1st,hp,hc,lf,50,2,1.30 ,0.47 ,34.2 ,6.4 ,15.69 ,0.99 ,579 ,47 ,5365 ,746 
1st,hp,hc,lf,50,3,1.24 ,0.49 ,31.1 ,6.3 ,15.99 ,1.09 ,613 ,63 ,6115 ,1019 
1st,hp,hc,lf,50,4,1.15 ,0.46 ,29.3 ,3.7 ,16.66 ,1.31 ,639 ,74 ,6844 ,1390 
1st,lp,mc,mf,51,0,,,,,13.10 ,1.03 ,497 ,20 ,3335 ,398 
1st,lp,mc,mf,51,1,1.49 ,0.54 ,36.5 ,7.8 ,14.82 ,1.14 ,542 ,36 ,4430 ,542 
1st,lp,mc,mf,51,2,1.28 ,0.49 ,34.1 ,7.9 ,16.02 ,1.10 ,574 ,49 ,5381 ,738 
1st,lp,mc,mf,51,3,1.19 ,0.46 ,31.3 ,7.4 ,16.57 ,1.06 ,604 ,61 ,6155 ,1007 
1st,lp,mc,mf,51,4,1.12 ,0.43 ,29.7 ,5.4 ,16.90 ,1.16 ,631 ,72 ,6857 ,1375 
2nd,hm,hm,hm,88,0,,,,,13.54 ,,510 ,24 ,3521 ,448 
2nd,hm,hm,hm,70,2,1.26 ,0.30 ,34.5 ,8.7 ,15.90 ,,586 ,42 ,5453 ,606 
2nd,mp,mc,mf,128,0,,,,,13.38 ,,503 ,25 ,3386 ,444 
2nd,mp,mc,mf,87,2,1.30 ,0.29 ,35.5 ,8.8 ,15.93 ,,581 ,42 ,5377 ,601 
3rd,hm,hm,hm,77,0,,,,,13.48 ,,500 ,15 ,3370,367 
3rd,hm,hm,hm,35,1,1.47 ,0.11 ,34.6 ,2.9 ,14.90 ,,544 ,18 ,4409 ,453 
3rd,hm,hm,hm,74,2,1.20 ,0.05 ,30.9 ,3.1 ,15.97 ,,572 ,18 ,5225 ,551 
3rd,hm,hm,hm,70,3,1.20 ,0.06 ,29.9 ,3.5 ,16.40 ,,608 ,20 ,6063 ,685 
3rd,hm,hm,hm,65,4,1.10 ,0.05 ,27.3 ,3.6 ,16.63 ,,632 ,21 ,6641 ,795 
3rd,mp,mc,mf,174,0,,,,,13.65 ,0.33 ,495 ,23 ,3347 ,370 
3rd,mp,mc,mf,149,1,1.55 ,0.18 ,32.5 ,2.8 ,14.74 ,0.02 ,542 ,18 ,4322 ,445 
3rd,mp,mc,mf,162,2,1.22 ,0.07 ,27.3 ,2.2 ,15.43 ,0.08 ,569 ,20 ,4986 ,498 
