"label","age","pro","cmean_fm","cmean_hm","cn_fm","cn_hm","csd_fm","csd_hm"
"Breij  ( 2019  )",1,2,32.5,34.6,149,35,2.80000000000001,2.90000000000001
"Breij  ( 2019  )",2,2,27.3,30.9,162,74,2.20000000000001,3.1
"Breij  ( 2019  )",3,2,28.4,29.9,148,70,2.6,3.5
"Breij  ( 2019  )",4,2,27.1,27.3,128,65,2.5,3.6
"Daniels   ( 2008  )",4,1.8,28.8,26.8,113,56,3.29999999999999,3
"Davis  ( 2008  )",2,2.2,35.5,34.5,87,70,8.8,8.7
"Hanning   ( 1992  )",1,2,35.2,36.7,45,58,10,12.4
"Hanning   ( 1992  )",1,2.2,35.5,36.7,50,58,9.4,12.4
"Hanning   ( 1992  )",2,2,34.2,33.9,45,58,9.4,11.2
"Hanning   ( 1992  )",2,2.2,33.3,33.9,50,58,8.5,11.2
"Hanning   ( 1992  )",3,2,31.7,30.5,45,58,8.6,10.7
"Hanning   ( 1992  )",3,2.2,30.6,30.5,50,58,8.4,10.7
"Kennedy   ( 1999  )",3,2.2,30.1,27.8,75,109,2.70000000000002,2.70000000000001
"Kennedy   ( 1999  )",3,10,32.3,27.8,76,109,3.1,2.70000000000001
"Kouwenhoven  ( 2019  )",4,1.7,26.9,24.7,88,65,2.2,3.6
"Kouwenhoven  ( 2019  )",4,2.1,27.3,24.7,85,65,2,3.6
"Kouwenhoven  ( 2019  )",6,1.7,24,22,88,65,2.40000000000001,2.9
"Kouwenhoven  ( 2019  )",6,2.1,24.8,22,82,65,2.1,2.9
"Kouwenhoven  ( 2021  )",4,1.7,26.9,24.2,53,36,2.39999999999999,4.1
"Kouwenhoven  ( 2021  )",4,2.1,26.8,24.2,45,36,1.7,4.1
"Kouwenhoven  ( 2021  )",6,1.7,23.8,21.3,53,36,2.4,3
"Kouwenhoven  ( 2021  )",6,2.1,24.3,21.3,44,36,1.8,3
"Litmanovitz   ( 2013  )",3,10,32.2,34.5,51,25,1.1,1.10000000000002
"Nadia  ( 2018  )",2,1.9,34.5,30.3,50,50,4,4.2
"Nadia  ( 2018  )",2,10,33.9,30.3,50,50,3.1,4.2
"Nadia  ( 2018  )",4,1.9,29.9,27.5,50,50,3.79999999999999,3.5
"Nadia  ( 2018  )",4,10,29.6,27.5,50,50,3.1,3.5
"Oropeza-Ceja  ( 2018  )",4,1.4,26.8,27.8,17,82,1.9,1.40000000000001
"Oropeza-Ceja  ( 2018  )",4,1.9,30.8,27.8,18,82,0.5,1.40000000000001
"Oropeza-Ceja  ( 2018  )",4,2.2,30.6,27.8,24,82,0.0999999999999051,1.40000000000001
"Putet  ( 2016  )",2,1.8,30.3,29.7,72,71,2.5,4.5
"Putet  ( 2016  )",2,10,32.3,29.7,77,71,3.5,4.5
"Putet  ( 2016  )",4,1.8,26.1,24,71,65,2.39999999999999,3.1
"Putet  ( 2016  )",4,10,27.7,24,74,65,2.9,3.1
"Putet  ( 2016  )",6,1.8,23.4,22.4,71,63,2.20000000000001,2.09999999999999
"Putet  ( 2016  )",6,10,24.8,22.4,72,63,2.69999999999999,2.09999999999999
"Raiha  ( 2002  )",1,1.8,26,27.7,56,28,8.3,9.5
"Raiha  ( 2002  )",1,2.2,30.9,27.7,29,28,8,9.5
"Raiha  ( 2002  )",2,1.8,28.8,30.1,56,28,7.3,6.7
"Raiha  ( 2002  )",2,2.2,32.8,30.1,29,28,6.69999999999999,6.7
"Raiha  ( 2002  )",3,1.8,27.9,27.8,56,28,6.1,5.3
"Raiha  ( 2002  )",3,2.2,30.8,27.8,29,28,56,5.3
"Raiha  ( 2002  )",4,1.8,26.5,25.4,56,28,5.4,4.6
"Raiha  ( 2002  )",4,2.2,28.6,25.4,29,28,4.40000000000001,4.6
"Roggero   ( 2020  )",1,2,41.1,41.5,52,26,5.40000000000001,9.7
"Roggero   ( 2020  )",3,2,33.2,34.2,52,26,3.80000000000001,5.8
"Singhal  ( 2010  )",2,2.2,28.2,27.2,200,101,3.60000000000001,3.4
"Singhal  ( 2010  )",4,2.2,26.6,24.5,200,101,2.69999999999999,3.4
"Singhal  ( 2010  )",5,2.2,26.3,24.2,173,96,2.70000000000001,2.70000000000001
"Trabulsi  ( 2010  )",4,1.9,27.8,26.6,103,110,5.29999999999999,5.4
"Trabulsi  ( 2010  )",4,2.1,28.1,26.6,108,110,5.4,5.4
"Turck  ( 2006  )",1,1.8,36.5,34.2,51,50,7.8,11.4
"Turck  ( 2006  )",1,10,34.9,34.2,50,50,6.8,11.4
"Turck  ( 2006  )",2,1.8,34.1,31.4,51,43,7.9,10.4
"Turck  ( 2006  )",2,10,34.2,31.4,50,43,6.4,10.4
"Turck  ( 2006  )",3,1.8,31.3,28,51,31,7.4,10.1
"Turck  ( 2006  )",3,10,31.1,28,50,31,6.3,10.1
"Turck  ( 2006  )",4,1.8,29.7,25.3,51,25,5.4,9.6
"Turck  ( 2006  )",4,10,29.3,25.3,50,25,3.69999999999999,9.6
"Vandenplas   ( 2020  )",1,2,29.5,26.8,186,55,2.19999999999999,1.90000000000001
"Vandenplas   ( 2020  )",2,2,30.8,28.8,173,53,2.80000000000001,2.59999999999999
"Vandenplas   ( 2020  )",3,2,30,27.6,168,51,2.8,2.7
"Vandenplas   ( 2020  )",4,2,29.4,26.7,166,50,3,2.59999999999999
"Wu  ( 2017  )",3,2.2,35.7,34.1,65,63,2.4,1.19999999999999
